lettr,lettr-num,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
Y,25,4,5,5,4,2,4,11,2,7,11,10,6,1,11,2,5
T,20,4,9,4,4,2,5,10,2,6,11,8,6,2,9,4,3
W,23,4,9,5,6,6,7,6,6,2,7,7,8,6,8,4,8
B,2,5,11,8,8,11,9,7,4,4,6,7,7,8,8,8,7
E,5,3,5,6,4,3,6,8,2,9,11,8,8,2,8,4,6
X,24,3,9,5,7,4,8,7,3,8,5,6,8,3,8,6,8
S,19,2,7,3,5,3,8,7,7,5,7,7,8,2,9,8,8
U,21,5,5,6,4,3,4,8,5,8,10,8,9,3,9,2,6
T,20,4,6,5,4,4,7,7,7,7,7,6,8,3,10,6,8
U,21,3,4,4,3,2,5,8,5,7,9,8,8,3,9,2,5
V,22,3,8,5,6,2,5,11,3,4,9,12,9,3,10,1,9
J,10,4,6,5,4,2,9,7,0,7,13,5,7,0,8,0,8
B,2,5,10,5,5,5,7,8,3,5,9,6,7,6,5,7,8
H,8,1,0,1,0,0,7,8,10,1,7,6,8,2,8,0,8
D,4,6,11,8,8,7,7,7,6,6,7,7,7,7,7,3,7
S,19,3,3,4,4,2,7,7,5,8,5,6,8,0,8,8,8
L,12,1,4,2,3,1,7,4,1,7,7,2,10,0,7,2,8
Q,17,6,8,7,10,6,8,6,7,4,8,7,11,4,9,7,7
H,8,3,3,5,2,2,9,6,3,6,10,4,8,3,8,3,9
M,13,4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8
C,3,1,0,1,1,0,7,7,5,7,7,6,14,0,8,4,10
R,18,3,2,4,4,3,7,8,5,5,6,5,6,3,7,4,8
G,7,1,0,2,1,0,8,6,6,4,6,5,9,1,8,5,10
A,1,2,6,5,4,3,6,5,1,3,5,2,7,2,6,3,4
O,15,4,7,4,5,3,9,6,7,5,10,4,10,3,8,3,8
I,9,1,6,3,4,3,9,6,3,4,7,6,5,3,8,5,5
V,22,4,8,4,6,2,3,11,4,4,11,12,8,2,10,1,8
V,22,1,0,2,1,0,7,9,3,2,7,12,8,2,10,0,8
A,1,5,12,5,6,3,14,0,4,2,12,3,11,2,4,2,10
K,11,3,2,4,4,3,5,7,3,7,6,6,10,6,8,4,9
V,22,3,5,4,3,1,4,12,4,4,11,11,7,2,11,1,8
C,3,7,10,7,7,4,4,10,7,8,12,10,9,2,10,3,6
L,12,4,6,5,4,3,6,6,7,6,6,6,8,2,8,4,10
H,8,2,1,2,1,2,8,8,6,6,7,6,8,3,8,3,8
U,21,5,6,6,4,3,4,9,5,7,11,11,9,3,9,2,7
N,14,3,5,4,3,3,7,9,5,5,7,6,6,5,9,2,6
D,4,4,10,6,8,4,8,7,7,7,10,5,4,3,7,5,9
Q,17,3,3,4,4,3,8,7,6,2,8,7,9,2,9,4,8
X,24,3,5,5,3,2,8,7,3,9,6,6,9,3,7,7,9
N,14,4,11,5,8,5,7,7,13,1,6,6,8,6,9,1,6
N,14,1,0,1,0,0,7,7,10,0,5,6,8,4,8,0,8
L,12,3,9,5,7,7,7,8,3,5,6,6,10,6,11,7,5
F,6,4,11,5,8,4,4,11,4,6,11,10,6,2,10,3,5
N,14,5,9,5,5,2,5,8,4,6,4,4,9,4,7,2,8
I,9,1,11,0,8,0,7,7,4,4,7,6,8,0,8,0,8
Y,25,5,8,5,6,3,5,9,1,8,9,9,5,1,11,3,4
Z,26,2,4,4,3,2,7,8,2,9,12,7,7,1,8,5,6
N,14,5,11,7,8,6,7,7,8,5,7,5,6,3,7,3,8
N,14,4,7,5,5,4,6,7,8,5,7,5,7,3,7,3,8
P,16,4,10,4,7,2,4,10,10,3,9,6,4,2,10,4,8
K,11,12,15,11,9,5,6,8,3,7,9,9,10,6,10,4,6
A,1,1,0,2,1,0,7,4,2,0,7,2,8,2,7,1,8
K,11,5,10,6,7,2,4,7,9,2,7,6,12,3,8,3,11
G,7,7,11,8,8,5,6,6,7,8,10,7,11,2,10,5,9
K,11,4,5,7,4,4,6,7,1,7,10,7,10,3,8,3,8
A,1,3,10,6,7,4,11,3,2,2,9,2,9,3,7,3,9
T,20,2,1,3,2,1,6,12,2,7,8,11,8,1,10,1,7
Q,17,4,9,5,8,3,8,6,9,7,6,5,9,3,8,4,8
Y,25,3,4,5,6,1,7,12,2,3,8,12,8,1,10,0,8
N,14,3,7,5,5,3,7,9,6,5,7,6,7,5,9,2,6
L,12,2,6,2,4,1,0,1,5,6,0,0,7,0,8,0,8
E,5,7,13,5,7,3,6,8,6,8,10,6,10,1,8,8,8
J,10,1,3,2,5,1,12,3,9,3,13,5,13,1,6,0,8
Z,26,2,1,2,2,1,7,7,3,11,9,6,8,0,8,7,8
G,7,1,0,1,0,0,8,7,5,4,6,5,9,1,8,4,10
U,21,5,9,6,7,6,8,8,8,5,5,7,9,3,8,4,6
C,3,3,2,4,4,2,6,8,7,8,9,8,13,1,9,4,10
G,7,8,12,6,6,5,8,8,4,3,9,5,6,4,9,9,8
W,23,6,10,6,8,6,2,11,2,2,10,9,7,6,11,2,6
J,10,4,9,6,6,4,7,6,4,5,8,6,7,5,6,4,6
L,12,4,11,6,8,8,7,8,3,5,6,6,10,6,11,7,5
R,18,5,10,7,8,6,6,8,5,6,6,5,8,3,6,6,9
F,6,2,4,4,3,2,7,9,1,7,13,5,5,1,9,2,8
Y,25,6,12,5,6,3,4,9,4,2,10,9,6,3,9,3,4
Y,25,3,5,5,4,2,7,10,1,7,7,11,8,1,11,2,8
H,8,2,1,3,3,2,6,7,5,6,7,6,8,3,8,3,8
X,24,3,6,4,4,3,7,8,3,8,6,6,8,2,8,6,8
R,18,5,11,7,8,10,6,7,3,4,6,6,9,7,10,8,6
P,16,3,6,5,4,3,5,12,6,3,10,7,2,1,10,3,6
U,21,3,3,3,5,1,7,5,13,5,7,14,8,3,9,0,8
C,3,2,0,2,1,1,6,7,6,10,7,6,14,0,8,4,9
R,18,1,0,2,1,1,6,9,7,3,7,5,8,2,7,4,11
T,20,8,15,7,9,3,6,10,3,8,13,6,6,2,8,5,4
Y,25,6,8,8,11,12,8,8,4,2,7,8,9,4,12,9,8
O,15,4,7,4,5,3,7,7,8,6,9,7,10,3,8,3,7
J,10,0,0,1,0,0,12,4,6,3,12,4,11,0,7,0,8
R,18,3,4,5,3,3,9,7,3,5,11,3,6,2,7,3,9
Z,26,1,3,3,2,1,8,7,2,9,11,6,8,1,8,5,7
X,24,3,11,4,8,4,7,7,4,4,7,6,8,3,8,4,8
U,21,2,3,3,2,1,5,8,5,6,10,9,9,3,9,2,6
C,3,5,11,6,8,5,5,8,8,7,10,8,13,2,11,4,10
V,22,5,11,7,8,8,8,5,5,3,8,7,9,9,9,6,11
C,3,4,7,5,5,2,6,7,6,10,6,6,12,1,7,4,8
M,13,8,10,11,7,7,5,6,4,5,11,10,11,11,5,4,7
I,9,1,1,1,1,1,7,7,2,7,7,6,8,0,8,2,8
U,21,1,0,2,1,0,8,6,11,4,7,12,8,3,10,0,8
L,12,5,11,7,8,9,8,7,3,5,6,7,9,7,10,7,6
J,10,1,3,1,2,0,10,6,2,5,11,4,9,0,7,1,7
F,6,5,8,7,6,3,4,12,3,6,14,8,4,1,10,1,7
G,7,2,4,3,3,2,6,7,5,5,9,7,10,2,9,4,9
G,7,4,10,6,8,7,8,6,5,2,6,6,10,7,8,5,10
A,1,2,1,3,1,1,7,4,2,0,7,2,8,2,6,2,8
Q,17,2,0,2,1,1,8,7,6,4,6,6,9,2,8,3,8
B,2,4,8,6,6,6,8,7,6,5,9,7,6,3,8,7,8
P,16,1,0,1,0,0,5,10,7,1,9,6,5,1,9,2,8
C,3,3,8,4,6,3,5,8,6,6,9,8,14,1,9,3,10
E,5,2,4,4,3,2,6,8,2,8,11,7,9,2,8,4,8
M,13,10,13,12,7,6,10,2,3,2,10,2,9,8,1,2,8
L,12,2,6,2,4,1,0,2,5,6,0,0,7,0,8,0,8
D,4,4,11,6,8,7,8,7,5,7,7,6,6,6,8,3,7
B,2,2,6,3,4,3,6,7,7,5,7,6,7,2,8,6,9
E,5,4,9,6,7,5,5,9,3,7,11,9,9,3,9,4,6
Q,17,6,15,6,8,4,7,5,5,8,9,5,8,3,7,9,9
M,13,7,6,9,5,9,7,8,5,4,6,5,8,13,7,5,8
G,7,4,6,6,6,6,7,7,5,4,7,7,8,7,10,6,8
U,21,3,6,5,4,4,8,8,8,5,6,7,9,3,8,4,6
X,24,3,7,4,4,1,7,7,4,4,7,6,8,3,8,4,8
N,14,8,10,10,9,11,7,7,5,4,7,6,7,8,9,6,5
W,23,5,6,5,4,4,3,10,2,3,10,9,8,6,11,2,6
I,9,0,1,1,2,1,7,7,1,6,7,6,8,0,8,2,8
F,6,5,5,5,7,2,1,15,5,3,12,9,4,0,8,3,6
E,5,5,10,5,8,5,2,7,5,9,7,6,14,0,8,6,8
Y,25,4,10,6,7,1,8,10,2,2,6,13,8,1,11,0,8
B,2,4,8,6,6,5,10,6,3,6,10,4,7,3,8,5,11
D,4,4,8,5,6,4,6,7,8,7,6,5,4,3,8,4,8
O,15,2,1,2,2,1,8,7,7,5,7,6,8,2,8,3,8
H,8,3,3,5,2,2,7,8,3,5,10,7,8,3,8,3,7
Q,17,4,5,5,5,2,8,5,8,8,6,4,8,3,8,4,8
Y,25,4,8,4,6,2,3,12,4,5,12,12,6,1,11,2,6
B,2,3,8,4,6,5,8,7,8,5,7,6,6,3,8,7,10
O,15,4,9,5,7,3,6,9,7,5,10,8,7,3,8,3,8
P,16,3,4,5,3,3,7,10,6,3,11,4,3,1,10,3,8
E,5,1,0,1,0,0,5,8,5,7,7,6,12,0,8,6,10
O,15,3,7,4,5,2,8,8,8,6,6,7,9,3,8,4,8
V,22,3,8,5,6,1,9,8,4,3,6,14,8,3,9,0,8
Q,17,6,9,6,10,8,8,5,7,4,9,5,8,4,8,5,7
K,11,4,8,5,6,7,8,7,3,4,6,6,8,6,8,7,5
T,20,6,10,6,7,4,6,12,4,7,11,9,4,2,13,4,4
C,3,5,9,6,7,3,4,8,6,9,12,9,12,1,9,3,7
U,21,4,5,5,3,2,6,8,6,7,7,10,10,3,9,1,8
N,14,1,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8
C,3,3,2,4,3,2,6,8,7,7,9,8,12,2,10,3,9
K,11,7,10,9,8,5,4,8,3,8,11,11,11,4,6,5,5
H,8,6,11,8,8,8,6,6,8,4,6,4,8,4,6,8,11
P,16,6,10,5,5,3,4,12,6,1,12,6,4,3,10,4,8
P,16,1,0,2,0,0,5,11,6,1,9,6,5,1,9,3,8
U,21,3,3,4,2,1,5,8,5,7,11,10,8,3,9,2,6
C,3,5,9,5,7,4,4,8,5,6,11,9,14,2,9,3,7
U,21,5,4,6,3,2,4,8,5,8,10,9,9,3,9,2,6
E,5,2,3,2,1,1,7,7,5,7,7,6,8,2,8,5,10
V,22,10,15,9,8,5,6,9,4,4,9,8,5,5,12,3,8
J,10,2,6,4,4,3,10,5,2,4,7,5,5,3,8,4,6
Y,25,5,9,5,6,3,3,10,2,7,11,11,6,1,11,2,5
B,2,4,6,5,4,4,8,9,3,5,10,5,5,3,8,5,8
F,6,4,9,5,6,2,1,12,5,5,12,10,8,0,8,2,6
L,12,8,12,8,6,4,8,4,4,5,12,8,11,3,9,6,9
S,19,4,9,6,7,3,9,7,4,8,12,4,7,2,8,5,9
O,15,2,6,3,4,3,7,8,7,5,7,9,8,2,9,3,7
U,21,6,7,7,5,3,4,10,6,7,12,11,8,3,9,2,7
R,18,3,7,4,5,2,5,10,8,3,7,5,8,2,8,6,11
T,20,3,6,4,4,3,7,8,7,6,7,7,8,3,10,5,9
Z,26,1,3,2,1,1,7,7,5,8,6,6,8,1,8,6,8
O,15,5,6,6,9,3,8,7,9,8,7,6,9,3,8,4,8
G,7,7,11,9,9,12,8,7,4,3,6,5,9,8,7,9,14
K,11,6,9,9,8,9,6,7,2,4,7,4,9,7,5,10,10
Y,25,8,10,6,15,5,4,9,3,1,9,10,5,4,10,7,5
G,7,6,9,5,4,3,8,3,4,3,7,3,5,4,7,4,9
H,8,4,5,7,4,4,7,8,3,6,10,6,8,3,8,3,8
J,10,3,9,4,7,1,12,2,10,4,14,5,13,1,6,0,8
T,20,3,5,4,4,2,6,10,1,8,11,9,5,1,9,3,4
W,23,5,9,7,7,3,8,8,4,2,7,8,8,8,9,0,8
B,2,2,4,4,3,3,8,7,2,5,10,5,6,2,8,4,9
U,21,3,8,4,6,2,7,5,14,5,7,13,8,3,9,0,8
F,6,1,3,3,2,1,5,11,3,4,13,7,5,1,9,1,7
R,18,4,10,6,8,6,7,7,4,6,6,5,7,3,7,5,9
U,21,3,9,4,7,2,7,5,15,5,7,12,8,3,9,0,8
M,13,8,9,12,8,12,7,7,4,4,6,5,8,14,9,6,9
P,16,3,4,5,2,2,7,11,4,3,12,4,2,1,9,2,9
I,9,2,11,2,8,4,7,7,0,6,7,6,8,0,9,3,8
J,10,3,5,5,6,4,8,9,4,5,7,6,8,3,8,8,9
P,16,6,9,8,7,7,6,6,8,4,7,6,8,4,9,8,11
U,21,4,8,6,6,6,10,6,4,5,6,7,6,5,8,4,6
I,9,1,6,0,4,0,7,7,5,3,7,6,8,0,8,0,8
P,16,4,7,6,5,3,7,12,4,5,14,5,1,0,10,3,8
H,8,3,3,5,2,3,7,7,2,6,10,6,8,3,8,3,7
V,22,4,2,6,4,2,7,13,3,4,8,12,8,3,10,2,8
N,14,6,9,9,7,5,7,9,2,5,10,6,6,6,9,1,8
G,7,6,11,7,8,4,7,6,7,7,11,6,13,3,9,5,8
W,23,4,2,6,4,4,9,11,2,2,5,9,7,9,11,2,7
S,19,5,11,6,8,6,8,8,5,8,5,5,8,0,8,9,8
J,10,1,3,3,2,1,9,4,4,4,13,7,12,1,7,0,7
B,2,3,7,4,5,3,6,6,9,7,6,6,7,2,8,9,9
V,22,3,10,5,8,2,8,8,4,3,6,14,8,3,9,0,8
E,5,4,9,4,6,4,3,6,5,9,6,7,13,0,8,7,9
Q,17,5,6,5,8,5,8,4,6,5,10,5,10,4,7,6,7
G,7,6,10,8,7,5,7,7,7,6,5,7,9,3,8,4,8
X,24,3,6,5,5,5,9,6,2,6,8,6,7,3,10,8,6
D,4,3,4,4,3,3,7,7,6,7,7,6,5,2,8,3,7
G,7,5,9,6,6,7,9,6,5,2,6,6,10,6,7,5,11
X,24,3,5,6,3,2,5,8,2,9,11,10,9,2,9,3,6
F,6,6,10,9,7,5,5,12,4,5,13,8,4,2,10,2,6
W,23,3,7,5,5,3,11,8,5,1,6,9,8,7,10,0,8
Q,17,4,9,5,8,5,8,8,7,4,5,9,9,2,9,4,9
Z,26,4,8,5,6,5,7,7,5,10,7,6,8,1,8,7,7
W,23,6,9,8,6,7,7,7,6,3,8,8,7,7,9,5,10
F,6,2,5,3,4,2,6,9,4,5,10,9,6,2,10,3,6
Y,25,6,9,6,4,3,7,7,4,4,9,8,6,4,10,4,4
I,9,1,9,0,7,1,7,7,5,3,7,6,8,0,8,0,8
U,21,2,3,3,2,1,5,8,4,5,10,8,9,3,10,1,7
A,1,4,11,7,8,6,7,5,1,4,5,2,6,5,6,6,6
U,21,3,8,4,6,2,7,5,14,5,7,13,8,3,9,0,8
D,4,1,3,2,2,1,9,6,4,4,10,3,5,2,8,2,8
S,19,6,12,6,6,3,10,4,4,3,12,6,9,3,10,2,8
U,21,1,3,2,1,1,9,8,6,5,5,9,7,3,10,0,8
D,4,3,9,5,6,4,6,7,9,6,6,6,5,3,8,3,8
I,9,2,6,3,4,1,7,7,1,8,14,6,8,0,8,1,8
O,15,5,9,4,4,3,6,8,6,4,9,8,9,4,9,4,8
V,22,3,7,5,5,1,8,8,4,2,6,14,8,3,10,0,8
P,16,5,9,7,7,6,9,8,4,5,11,4,4,2,9,4,8
T,20,2,10,4,7,1,7,14,0,6,7,11,8,0,8,0,8
S,19,3,7,4,5,3,8,8,7,6,7,6,8,2,8,9,8
G,7,3,6,4,4,2,8,6,7,7,6,6,9,1,7,6,11
O,15,4,11,5,8,3,7,7,9,7,7,6,8,3,8,4,8
X,24,5,9,8,6,4,10,6,2,8,10,2,7,3,8,3,9
G,7,5,9,7,7,7,7,9,6,3,5,5,10,4,8,7,8
U,21,6,9,6,7,4,5,7,7,8,8,6,9,3,9,3,4
F,6,4,9,5,6,2,1,11,5,7,12,11,9,0,8,2,6
Q,17,5,8,6,10,6,9,5,7,4,9,5,11,4,8,6,7
M,13,1,0,2,0,1,7,6,9,0,7,8,8,6,6,0,8
B,2,7,13,7,7,6,10,6,4,5,9,5,8,6,8,8,9
C,3,5,8,6,6,2,3,10,5,8,12,11,10,1,8,2,6
K,11,7,9,10,8,10,9,7,3,4,9,2,8,8,4,8,12
R,18,1,1,2,1,1,6,9,8,4,7,5,8,2,7,4,11
A,1,6,11,8,9,8,7,7,8,4,8,5,8,4,8,10,1
Q,17,6,7,6,9,7,8,5,7,4,8,6,7,6,8,6,9
K,11,4,10,5,7,2,3,8,8,2,7,5,11,3,8,3,10
I,9,1,6,1,4,1,7,7,0,7,7,6,9,0,8,3,8
V,22,5,6,5,4,3,4,12,1,2,8,10,7,3,11,1,7
F,6,2,1,3,2,1,5,11,3,5,11,9,5,1,10,3,6
O,15,4,8,5,6,4,7,8,8,5,10,7,8,3,8,3,8
A,1,2,7,4,5,3,12,3,2,2,9,2,9,3,7,3,9
N,14,6,10,6,8,3,7,7,15,2,4,6,8,6,8,0,8
C,3,2,1,2,2,1,6,8,7,7,9,7,12,1,10,4,10
W,23,1,0,1,0,0,7,8,3,0,7,8,8,3,9,0,8
M,13,5,7,6,5,7,8,8,6,5,7,6,8,7,9,7,6
Q,17,5,9,6,11,7,7,9,4,3,8,10,10,4,10,8,8
C,3,3,8,4,6,3,5,7,6,7,7,5,11,1,8,4,10
A,1,7,9,10,8,8,6,8,2,4,7,7,9,8,6,4,8
Y,25,3,5,5,8,1,6,10,2,2,7,13,8,2,11,0,8
I,9,1,11,0,8,1,7,7,5,3,7,6,8,0,8,0,8
B,2,5,9,7,8,9,7,7,5,4,7,6,8,6,9,8,7
G,7,4,7,4,5,2,6,7,6,6,10,8,9,2,9,4,9
L,12,4,9,4,5,2,9,3,4,5,12,4,13,2,6,5,9
I,9,2,8,3,6,2,8,7,0,7,13,6,8,0,8,1,8
Y,25,8,10,7,5,4,8,6,4,6,9,6,5,4,10,4,6
K,11,3,6,5,4,5,8,6,4,4,7,6,8,6,7,6,8
X,24,5,11,9,9,7,6,8,2,6,7,6,9,6,5,8,7
V,22,8,10,7,8,5,3,12,2,3,9,11,8,7,11,2,6
S,19,8,11,9,8,6,7,8,3,6,10,5,7,4,6,6,8
K,11,3,7,5,5,5,5,6,3,4,6,5,9,5,7,8,7
A,1,3,8,5,5,2,7,5,3,1,7,1,8,2,7,2,7
S,19,9,13,8,7,4,9,4,4,3,13,8,10,4,9,3,9
D,4,2,4,4,3,2,8,7,5,6,9,5,5,2,8,3,7
Q,17,6,9,8,7,6,8,4,9,5,7,4,8,3,8,4,8
N,14,10,13,9,7,4,4,9,4,7,3,3,11,5,8,2,7
Z,26,5,7,7,9,6,10,5,4,4,8,2,6,2,7,7,8
A,1,4,9,7,7,4,8,2,2,3,6,1,7,2,7,3,7
B,2,4,6,5,4,4,8,7,5,6,9,6,6,2,8,6,9
U,21,5,8,5,6,2,7,4,14,5,7,14,8,3,9,0,8
S,19,3,5,6,3,2,6,8,2,7,10,7,8,1,9,5,6
P,16,3,1,4,2,2,5,10,4,4,10,8,4,1,9,4,7
C,3,3,2,4,4,2,6,8,7,7,8,7,13,1,9,4,10
Q,17,1,0,2,1,1,8,7,6,4,6,6,9,2,8,3,8
Q,17,5,6,7,9,8,8,11,4,3,5,8,11,5,13,7,11
E,5,3,8,5,6,4,4,8,5,8,11,10,9,2,9,4,5
D,4,2,4,4,3,2,9,6,4,6,10,4,5,2,8,3,8
G,7,4,2,5,4,3,7,6,6,6,6,6,9,2,8,4,8
V,22,2,1,4,2,1,6,13,3,2,8,11,8,2,10,1,8
A,1,4,10,7,7,2,7,5,3,1,7,1,8,3,7,2,8
A,1,2,8,4,6,2,12,3,3,2,10,1,9,2,6,2,8
R,18,3,2,4,4,3,7,7,5,5,6,5,7,3,6,6,9
S,19,3,5,4,4,2,8,7,3,7,10,6,8,1,9,5,8
Q,17,5,9,5,4,3,8,5,4,8,10,4,9,3,7,8,10
Z,26,6,9,9,7,6,8,6,2,9,11,5,9,3,5,7,8
C,3,7,10,8,8,5,3,7,5,7,11,10,14,2,9,3,7
F,6,6,12,5,6,3,4,12,3,5,12,7,4,2,7,5,5
B,2,4,10,5,8,7,7,8,9,6,7,6,7,2,7,8,10
R,18,3,7,3,5,3,5,9,7,3,7,5,8,2,7,4,11
W,23,8,10,9,8,6,1,10,3,3,11,11,9,7,10,1,7
K,11,6,10,8,7,6,6,6,1,7,10,6,10,4,8,4,8
P,16,2,4,4,3,2,8,8,3,5,12,4,4,1,10,2,8
O,15,3,6,4,4,3,7,8,7,4,9,7,8,3,8,2,8
J,10,5,8,4,6,3,8,7,2,4,11,6,8,2,10,6,11
A,1,6,9,5,4,2,11,3,3,1,9,4,11,4,5,4,9
P,16,3,7,5,5,3,9,8,2,5,12,4,5,1,10,2,9
N,14,10,13,12,8,5,4,9,3,4,13,10,9,6,8,0,7
M,13,3,2,5,3,3,9,6,6,4,6,7,6,7,5,2,6
P,16,3,7,5,11,8,8,9,5,0,8,6,6,5,11,6,9
Z,26,3,7,5,5,3,6,8,2,9,11,7,7,1,9,6,7
S,19,4,6,5,4,3,9,8,3,7,10,4,7,2,7,4,9
X,24,1,0,1,0,0,8,7,3,4,7,6,8,2,8,4,8
P,16,4,8,4,5,2,5,10,9,5,9,6,5,2,10,4,8
C,3,6,11,6,8,4,5,8,7,8,12,9,12,2,10,4,6
P,16,5,8,7,6,5,9,8,2,6,13,5,5,2,9,3,9
D,4,3,7,3,5,2,5,6,10,7,5,4,5,3,8,3,8
Z,26,2,4,5,3,2,7,8,2,9,12,7,7,1,8,5,6
Y,25,7,6,6,9,4,6,8,4,2,7,10,5,4,10,5,6
L,12,1,3,3,1,1,6,4,1,7,7,2,9,0,7,2,8
K,11,4,5,5,4,3,5,7,4,8,7,6,10,6,8,5,9
T,20,6,9,6,6,4,7,11,3,9,12,9,4,2,12,3,4
R,18,2,1,2,1,1,6,10,7,2,7,5,8,2,7,4,10
T,20,4,11,5,8,2,5,15,1,6,9,11,7,0,8,0,8
A,1,8,14,8,8,6,9,4,5,4,10,6,12,9,2,7,11
H,8,5,10,5,7,3,7,5,15,1,7,8,8,3,8,0,8
Z,26,5,7,6,5,4,8,5,2,9,11,4,10,2,8,6,10
G,7,4,4,6,6,2,8,5,8,9,6,5,10,2,8,5,10
U,21,3,1,4,1,1,7,9,5,6,7,10,9,3,10,1,8
B,2,4,8,6,6,4,11,6,3,7,11,3,7,2,8,5,11
L,12,7,13,6,7,3,7,4,3,6,11,4,13,2,7,6,8
V,22,7,9,9,8,10,7,6,5,4,7,6,7,7,10,8,11
B,2,2,5,4,3,3,8,7,3,6,9,5,7,2,8,5,10
Q,17,1,1,2,2,2,8,7,5,2,5,6,9,2,9,4,10
G,7,6,11,7,8,5,6,7,7,7,10,8,10,2,8,5,9
D,4,4,8,6,6,5,7,8,8,6,9,7,4,4,9,3,7
K,11,7,10,7,5,3,7,6,3,6,9,8,9,6,11,3,7
Y,25,4,5,5,7,7,9,6,6,3,7,7,8,7,8,6,4
W,23,4,8,6,6,3,6,8,4,1,7,8,8,8,9,0,8
Y,25,4,4,5,6,5,9,9,5,3,7,7,7,5,10,6,4
H,8,4,4,4,5,2,7,6,15,1,7,8,8,3,8,0,8
S,19,7,10,5,5,2,9,2,3,4,9,2,9,3,6,5,10
Q,17,8,15,8,8,5,11,4,5,7,12,3,10,3,7,8,12
D,4,6,5,6,8,3,5,7,10,10,7,6,5,3,8,4,8
G,7,3,8,5,6,4,6,6,6,6,7,5,11,2,10,4,9
F,6,4,11,4,8,3,1,11,4,5,11,11,9,0,8,2,6
U,21,2,3,3,2,1,5,8,5,6,10,9,8,3,9,2,6
S,19,2,5,2,4,2,8,8,7,5,8,5,7,2,8,8,8
A,1,3,9,5,7,3,11,3,2,2,9,2,9,3,5,3,8
C,3,2,2,3,3,2,6,8,7,8,8,7,13,1,9,4,10
I,9,3,9,5,7,3,7,7,0,7,13,6,8,0,8,1,8
I,9,1,1,1,2,1,7,7,1,6,7,6,8,0,8,2,8
H,8,3,3,5,2,2,7,8,3,6,10,7,7,3,8,3,8
Y,25,3,5,5,8,6,7,10,3,3,7,8,9,4,10,9,5
W,23,4,8,7,6,9,9,8,5,2,7,7,7,12,10,4,6
P,16,3,7,5,11,9,9,8,4,1,8,6,7,7,9,5,6
F,6,6,11,6,8,2,1,12,5,6,12,11,8,0,8,2,5
J,10,0,0,1,1,0,12,4,6,3,12,5,11,0,7,0,8
U,21,2,4,3,3,2,5,8,5,6,10,9,9,3,9,2,6
H,8,8,11,12,9,10,6,7,3,7,10,8,9,5,8,5,7
R,18,3,5,4,4,3,7,7,4,5,6,5,6,3,7,4,8
C,3,3,8,4,6,3,5,7,6,8,5,6,12,1,7,4,10
R,18,4,9,6,7,6,6,7,5,6,7,6,6,3,7,5,9
B,2,4,8,6,6,8,8,8,4,3,6,7,7,6,11,8,9
M,13,6,9,10,7,11,10,5,3,2,9,4,8,11,6,4,7
O,15,4,8,5,6,4,7,7,7,6,7,5,8,2,8,3,8
C,3,6,11,7,8,5,5,8,7,6,8,8,15,4,9,6,6
E,5,3,4,5,3,2,6,8,2,8,11,8,9,2,8,4,7
Z,26,1,4,2,3,1,8,7,5,8,6,6,8,1,8,7,7
M,13,6,11,8,8,8,8,6,5,5,6,7,8,8,6,2,7
E,5,3,7,3,5,2,3,7,6,11,7,7,15,0,8,7,7
U,21,4,10,5,8,4,8,6,12,4,7,13,7,3,8,0,9
R,18,3,8,3,6,4,5,9,7,3,7,5,8,2,7,5,11
D,4,4,11,4,8,3,5,7,11,8,7,6,5,3,8,4,8
F,6,5,7,6,5,6,7,8,6,4,8,6,8,3,10,8,11
C,3,7,11,8,8,5,5,7,5,7,12,9,13,4,11,5,5
L,12,5,10,6,8,4,7,4,2,8,7,1,8,1,6,3,7
F,6,5,11,6,8,7,6,9,6,4,8,6,8,3,10,8,11
S,19,2,4,4,3,2,9,6,3,7,10,4,8,1,9,5,9
C,3,6,9,8,8,8,5,7,3,5,7,6,11,4,11,8,8
U,21,4,6,4,4,3,7,5,12,4,7,12,8,3,9,0,8
P,16,6,13,6,7,4,8,9,4,3,12,4,4,4,11,5,6
H,8,3,6,4,4,2,7,7,14,0,7,6,8,3,8,0,8
H,8,3,5,6,3,3,7,7,3,6,10,6,8,3,8,3,7
H,8,4,5,5,4,4,8,7,6,6,7,6,8,3,8,3,7
V,22,4,7,4,5,2,2,11,3,3,11,11,8,2,11,0,8
J,10,4,11,5,8,4,8,5,3,7,12,4,10,1,6,2,6
Z,26,2,1,3,3,2,7,7,5,9,6,6,8,1,8,7,8
M,13,4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8
I,9,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8
S,19,7,11,7,6,3,9,5,4,4,13,6,8,2,9,3,8
J,10,1,4,2,3,1,10,7,1,7,11,4,7,0,7,1,7
W,23,10,15,10,8,5,4,9,2,2,8,10,8,9,12,1,6
N,14,6,9,9,7,5,9,8,2,5,10,2,4,7,10,2,7
I,9,1,1,1,3,1,7,7,1,6,7,6,8,0,8,2,8
M,13,5,6,7,4,6,7,6,5,5,8,6,11,10,5,2,9
E,5,3,8,4,6,3,7,8,6,10,6,4,9,3,8,6,8
